tweet,category
i sware to god u to go any nigger neighborhood an it looks like da 1 9 6 0 never left those niggers can not do shit for themself,Other
more kike propaganda this idea is also part of the jew plan for extermination promote masturbation in white men so that their desire for family and white children is diminished,Racism
oh god <user>  is still posting hey faggot stop saying we are kike shills dividing your imaginary movement your precious ricky vaughn has been attacking white people and white nationalists for months now you are openly doing it as well,Racism
this mexican nigger is such a fucking faggot,sexualContent
why does vanity fair have a sheboon on its cover did it merge with national geographic vanity fair serena williams alt right,Racism
they e all gay pakistan has more male prostitutes than any other country most paki men have had homosexual sex with other men and boys sick fucks,sexualContent
as the kike dreidle turns,Racism
boomers with gook wives are the biggest threat to western civilization,Racism
<user> <user> if i am a faggot why would i be white knighting for a girl you need to fire your continuity department,sexualContent
stupid nigger nazi oh noes don t read the vox day blawg nothing to see there pay attention to us as we alienate every normal person we come in contact with stupid nigger nazis need to have their noses rubbed in the turds they leave on the carpets,Racism
um why does she have her aclu red panties on her head is that a sharia law thing or just ugly mussie women trying to attract men for sex can sorta see why mussie men chasing goats <happy>,Religious
the fat nigger has tits on her back and pubes growing out of her hayid ,Racism
another typical nigger,Racism
not that they should be identifying with that trash at all but white people should say whatever words they want fuck niggers and their jew record labels this white people can not say nigger but we can thing is just more hook nosed bullshit,Racism
just what we need a sandnigger goatfucker for governor ffs,Racism
niggas love you when they need you no these bitches be see through,sexualContent
no nigger in this blood stream,Racism
one nigger baby at a time ,Racism
<user> the edmund fitzgerald leaves for canada tomorrow morning all muzzies are welcome and it is free,Racism
my dad has written my sister out of his inheritance because his words no daughter of mine is gonna be a mudshark and date a nigger burn the coal pay the toll i guess   ,Racism
<user> im supposed to be worried about men instead thats that lgbtq bullshit why black women want all black men to be raging gay faggots no im interested in woman,sexualContent
please revive i can not guarantee your guy watch out here doing space shit whilst i am making twitter bots who nut niggers,Racism
if do not fuck with indie or house music idk your a faggot,sexualContent
seriously you are selling a fucking gook brew yuengling as americas oldest brewery gtfo generally i will readily admit that the usa is the greatest nation on god earth and that any other nation beats merkels germany bigtime but your beer feels looks smells and tastes like piss,Racism
not a problem even though i know she a mudshark i still adore her,Racism
nigger tranny pics you found,Other
thirteen year olds dont seig heil sand nigger in a vacuum lolololol,Racism
one must wonder how long she will do in jail on the taxpayers dime before they decide to toss her spic ass out as for the guy castrate him and jail him for life the prisoners in nevada will deal with the matter themselves tyvm,Racism
someone up there in looney toons san fran do america a favor kill that fucking wetback murderer thanks,Racism
in a gesture of cooperation the mex government extradited el chapo to the u.s. trump should boot international mega kike soros to russia,Racism
this is what happens when you let alt troasties think they are allowed to have opinions they suddenly get the idea that fucking niggers is ok as long as they do not do it anymore how many nigger dicks have you sucked before whore,Racism
pipe down nigger lover,Racism
enjoy your kike faith,Racism
please stop posting photos of the moslem faggot and the crooked white whore please im sick of them please stop,sexualContent
a kike kissing a nigger seems right kikes keep them as pets,Racism
ffs lmfao got me again twitter is pathetic shit bastard nigger lovers,Racism
she lying she does not wish to get attacked by jealous nigger bitches white women are not popular with black women,Racism
i do not have a problem with this the beaners are always shooting and throwing rocks at bp agents from spicland fuck off beaners build the fucking wall trump,Racism
how dare them niggers swat my fortnite crush pokimaine,Racism
yep communist nigger fag,sexualContent
gosh yall the trauma   i hate u white bitches yeah spring view middle school im talking to you,Racism
<user> <user> you own me 2 gold fucking niggers,Racism
kansas city is a nigger dump,Racism
<user> i am suppose to be scared of a white bitch that took boxing lessons okay  ,Racism
hoes are annoying thots are annoying which are pretty much the same white ppl are annoying spanish people are annoying and asians are too diverse even for their own culture ,sexualContent
that hoe only got time for his friends,Other
aye bro do not you cuff that hoe cuz i done had that too,Other
this bitch be thinking she hit the lotto with that hoe ah nigga ,Other
do we have <user> on the list zionist heeb alert on this guy,Racism
know turns out she not racist neither so to all you niggers out there get all excited she sucks dick you hardly e dr get that without niggers in presence,Racism
see its going on about iq and shit now lol same shit same kike shit,Racism
<user> fucking faggot,sexualContent
listening to gavin mcinnes talk about why white people should adopt niglets makes me physically nauseous   ,Racism
i like bro nathaniel he near the mark on most every topic and is the only kike willing to rip his own to shreds good vids,Racism
more retarded ridiculous looking niggers on judge judy today a nigger whore has long curly blond hair and a goofy weird nose ring,Racism
excuse me ma am does your nigger ass have a moment to speak about the day of the rope day of the rope,Racism
it a day when worthless thots in slutty green outfits poison themselves with alcohol and nigger cum genital mutilation for all thots,Racism
enie meenie minnie mo catch a niggar by his toe huh oh is it sposed to be tigar  my bad,Racism
if this faggot is not a kike then we are gonna need a new term for whatever he is b c shabbos goy simply does not do justice to this level of cuckoldry,Racism
i wonder how long it will be until french muzzies discover that the croissant is actually an insult to their religion and demand that it be banned from french bakeries <time> thoughts gab fam speak freely,Religious
<user> he a fake noodle smooth impasta i would have said niggers,Racism
square up to it mental nigger come at me and tell me how jesus came back from the dead because that the claim it a claim it a factual claim not presented as a myth so get up and tell me it true you mind nigger,Racism
oh hell no fuck this kike bitch,Racism
fuck nigger culture,Racism
here the funny thing about sarsour she d never dare try to pull this bullshit in a muzzie country shed need that much makeup to cover the bruises from being slapped around by their cowardly men these maggots are establishing a caliphate right under our apathetic ignorant little noses,Religious
for one minute i have to take a break from jew and nigger hate to remind everyone i fucking hate fat people,Racism
this niggerette is a stupid affirmative action moron i live in houston and the only thing dumber than her are the really stupid niggers that keep electing her,Racism
nigger lovin fgt,Racism
classic abortion from a three man butt fuck leaking out of his single mother abandoned homeless nigger cunt,Racism
good thing nigger rhymes with nigger or lil wayne would be out of a job,Racism
crazy i hope nbc black starts using nigger speak,Racism
no but mestizo spic sure is,Racism
iq matters you virtue signalling twat while you are lecturing on the precise definition of racism niggers wetbacks and muzzies are planning how to rape your daughter and steal your house,Racism
i had a white christmas i went to a country bar in rural nevada and did not see a single shitskin all day dropped some redpills and made a few friends hail victory comrades,Racism
actually i am a christian you muzzie loon,Religious
i blame all the white guilt commie kike cuck dismay for this violence,Racism
maybe a jew doc fixed him up if a kike kept me from going blind i d likely soften up on em a bit such is human nature or at least huwhite nature at least,Racism
yep it in the genes trashy diane shagging a raghead now her son hooked up with a mud time to abolish royals when qeii moves on they are such chavvy trailer trash prince harry,Racism
it like dejavu of the hamas orchestrated swedish marxist funded armed struggle using anc goons in south africa leading up to final chapter now the genocide of white christians just as cair oic will orchestrate across america using libretarded dems hoggs queers,sexualContent
not to mention his butt fucking nigger boy cracksmoking faggot lover kike degeneracy at it finest,Racism
hating beaners is so easy,Racism
im anti racism but pro normalizing words like faggot and nigger and kike and so on theyre just words lmao,Racism
<user> fyi i m claiming war queer fuck em,sexualContent
<user> oh my the niggers gonna be pissed,Racism
bad mudslimes want to cut off your head good mudslimes want bad mudslimes to cut off your head,Religious
with the way modern britain is going it really is appropriate that harry is marrying an american nigger lol,Racism
the new si swimsuit edition has a monkey negress on the cover,Racism
yeah i do not believe the come and take it crowd we will see kike controlled cops will put bullets in your children heads just an fyi when supporting law enforcement thin jew line,Racism
damn im about to workouy like a cotton field slave nigger sanz yar,Racism
its a nigger problem not a gun problem florida was also a half jew half hispanic not white,Racism
this person is obviously a cianiggrr admits race mixed and calling me a kike yet i am fully white my husband is white and our kiddos are white and making fun of me for having cancer thots begone,Racism
i do not know about you but i have never considered sweden an ally so what if they are overrun they deserve it so do their smug coal burning women sweden role in this is to provide an example of muzzie immigration,Religious
looking at all this nigger ruin wondering when we starting spelling detroit with a z,Racism
litterally standing in line waiting while these two sheboons argue over there fucking allowed ounces of cereal on there w.i.c benefits,Racism
i would not want to reuse that water after coon night like swimming in a septic tank you know when animals get scared they void themselves and niggers are afraid of water probably the first real bath most of the knuckledraggers have had in their life,Racism
derp de derp let me just lay out my profession so this kike whore can attack my career,Racism
i loathe these stupid women trying to explain a really stupid child dyke communist it called meme warfare the meme does not work if it is not believable that dyke shredding our 2 a is exactly what everyone including herself would admit she trying to accomplish operation success <user>,sexualContent
lol i am not british that must be the turkish ottoman sandnigger seed floating around in your brain well that what happens when you fuck niggers,Racism
metal heads are such elitists kill yourself stupid rick and morty tattoo no children epic weed faggot,sexualContent
the original queer eye for the straight guy is iconic those netflix faggots could never,sexualContent
i just want louisiana twitter to know that you niggers are the sole reason disney do not wanna buy twitter it all right here on tl,Racism
<user> facts smh dumb niggers,Racism
he a fucking pot smoking ass snitch molestor rapists and he looks like a fucking bitch and fucking little white boy that does not have shit up a desire to cry about everything what a fucking little faggot he wasn t ever worth shit,sexualContent
<user> you draw like a faggot,sexualContent
what a fucking disgrace having a stephen lawrence day and not a lee rigby day  fucking moslem appeasing scum our government and civil servants are spineless bastards giving in to moslem scum and the anti white whites like cunt corbyn and fat black bastard diane flabbott ,Religious
they are allowing this beaner on ellen degenerate show because no one but thots and other assorted sjw wymyn watch that shit,Racism
do not forget to add me to your hit list you kike shill,Racism
the wtc was built with the understanding that it would be a public works project not a privately owned commercial development that is why it was originally run by the port authority a state government transportation agency turning it over to the kike billionaire silverstein violated that understanding,Racism
unreal i grew up in darwin and ive seen the results of this similar practice by the coons there wow,Racism
hope he keeps stressing the point unfortunately the system will most probably get him removed for speaking the truth france is so scared of these invading illegal moslem shite in case they react and run riot even more than they currently do,Religious
holy shit dude everything this kike posts is flat out gay <user> these kikes just can not resist their perversions can they,Racism
the only thing worth saying here is nigger faggot thanks god for gabai,Racism
this fat ugly nigger bitch is a pain in everbody ass queen sheila hahhahahhahahahhaha i did not know shit had queens,Racism
yawn look the book up boomer kike it written by a kike like you you know a degenerate coward yid <happy>,Racism
when a groid breaks into her house for a little rape she will be wishing for that gun,Racism
i did not see the choice of beaners pretending to be republicans,Racism
it ok if a moslem does it,Religious
these hoes for errbodyy,sexualContent
tsurumarus a conservative evangelic baptist confederate redneck with sex toes on his right foot and missing half of his teeth,Racism
you do not even know your dad and all you did was recycle my joke about your mom i get that you are used to stealing but try not to do it out in the open like a crack nigger,Racism
<user> trailer trash salon version of her dad,Other
i am going to assume that anyone who supports a big fat kike with a divershitty and homo supporting kike wife and a half nigger brother is some sort of zogbot jew boy or whigger himself at this point,Racism
<user> od leave them white devils alone,Racism
hey nigger stop with same post over and over,Racism
looks like lee rigby beheading must have happened on a moslem holy day since they carried out the manchester attack on it anniversary i see a market for t shirts that say wearer carries bacon bits to send moslems to hell do not blow near me,Religious
more nigger crap,Racism
you alt lite queers need to pick a side pro white or anti white race mixers and thot defenders deserve the rope,sexualContent
so i can say nigger on here,Racism
as far as the pewdiepie thing goes there nothing inherently pejorative about the word nigger nigger is derived from the latin niger for black all nigger literally means is black nigger niger black no shitlib has ever coherently articulated why saying black is okay but nigger is not,Racism
republicans post trump will deserve to be treated like nazi party members post ww2 it will be vital that we do this but we wont because we are a deeply stupid country your shitty jet ski salesman dad will just sit there collecting checks and hating faggots and brown people,sexualContent
i raped the jews because it rigged dave,Racism
always a fucking kike,Racism
so a kike banned you from twitter and you come over to a platform full of jew hating nazis to complain about nazis what the fuck,Racism
how about nigger loving douchebag,Racism
as far as im concerned if u pay any money to watch niggerball games or niggerball stuff u may as well just find the nearest nigger and suck its dick u cucked loser ,Racism
<user> <user> drug addict khusra bisexual imrankhan might have screwed this queer,sexualContent
princess michael wore a nigger brooch to meet harry nigger jew fiance  judenpresse expresses outrage and offence  ,Racism
i didnt realize how repressed being on twitter was making me i just feel like saying nigger and faggot constantly and posting as much gay porn as possible,Racism
in the long run niglets fuck themselves over,Racism
ew those dirty filthy niglets belong in apefrica and that disgusting mudshark belongs in prison for bringing dangerous animals in public  ,Racism
says the swamp muzzie who fucks goats,Religious
haha there are a lot of hollywood faggots and queers being outed lately keep your dick in your pants assholes fucking hypocrites perfect for this maybetheyshouldjustshutup,sexualContent
better than nigger art look at that jaguar,Racism
tsekk kike you need a history lesson faggot,Racism
the nigger has a conception of his heroic ideal it reaches nowhere near white heights whites are utterly alien and incomprehensible to him the typical nigger reactions of amusement contempt and hatred for whites thus follow wimpy whites meanwhile admire the macho confidence of a chimp race,Racism
i fell for the great white hope rhetoric my bad he better than obama and bush et all idgaf still a slimy politician piece of shit also dgaf about muzzies and kikes i do not want american lives or dollars spent on any of those fucking parasites,Religious
love that pic exactly where the nigger needs to be forthousands of years the nigger inferiority has been known,Racism
i have offered quite a few constructive and gentle criticisms of her kike face and it modern art paint shellacking  buffalo bill was not very appreciative,Racism
i have absolutely nothing against patrick little but his personal opinion on mudslimes matters not in the least to me,Religious
those queers and their machines,sexualContent
you think that jew son of an fbi agent and that bald spic dyke needed school to teach them to hate whites and white society,sexualContent
pepper your speech with hatephrases gayer than aids fatter than a feminist dumber than a nigger tranny scary nagging like a negress cruel as a communist deceptive as a democrat jealous as a jew murderous as a muslim unmarriageable as madonna,Racism
oh the irony of putting out a commercial showing a racist white guy chasing poor minorities w a truck when facts are it dirty muzzies mowing down americans in rented trucks,Religious
lol nice try kike trying to convince me to dox myself because you called me a name tell ur kike line manager to try harder next time ur freudian bs no longer works on us goyim the goyim know,Racism
fuck that uppity communist nigger sow she attended the same jew run communist indoctrination school as marxist lucifer koon revering these pavement apes is part of how we got the fucked up society we have now,Racism
these your kike bosses too feldman is cernovichs bossman he the most anti white kike on twitter,Racism
trump is helping us wtf i love trump and his kike children now,Racism
did yah see dat nigger bich shitting in da macdonald an throwin her shit da employees,Racism
more muzrat part and parcel,Religious
the shit that black girls need to do to try and look semi normal is astounding this coon looks like she straightens her hair on an ironing board,Racism
another gay moslem,Religious
looks like an ugly fuckin nigger to me,Racism
hi faggot what you say queen,sexualContent
stupid polis god damn faggots got em got em got em what a good series got em eek a penis como koko why southpark,sexualContent
<user> what would our state look like if we eliminated the illegal aliens for starters it would look like cleaner roads less child rape cases less drunk drivers and working men and women would see their wages rise,Other
i will admit she is a jewish woman who i have disagreements with in her politics i am not going to stoop to that level because she has not done enough to stoke my ire to that level plus being called a kike is a compliment in today society thanks lil dickey,Racism
french mayors panic as invading muslime migrants overwhelm cities keep your borders open french president moron there are more muslimes looking for freebies and to take over your nation muslimes are no value added to france or any european nation or america deport putin says syria war over,Religious
have some porn sand nigger,Racism
i do not think the kikes are gonna get this war i mean russia will fuck up the launch sites then what trump attacks a russian base no fucking way i know he is kike owned now but even he can not want nuclear flames in america,Racism
the klintoons and ovomit should die in prison together ovomit van be the klintoon house nigger hilree must be pissed that a nigger beat her for president,Racism
check out the rockfish report on niggermania they keep up to date on all the bobbing coons nationwide,Racism
obama is a lying muzrat traitor so of course everything he did was bad for america,Religious
i believe she a secret nigger lover,Racism
part from da zhid turning up his toes this will serve well if true,Racism
ireland a bit surprising maybe recent nigger arrivals over represented in sample or they are really cucked on the other extreme slav countries ftw,Racism
he posts good stuff but i am just not into fashier than thou bs when we need all hands on deck 8 pol goes off on trs is a kike honeypot bs too it not helpful,Racism
do some research tony you will find out that mohammed was an illiterate sand nigger married to jewesses rabbis were behind the whole islamic scam jews and arabs are basically inbred cousins neither jews or muzzies have any business being in white civilizations,Racism
all mexcrement bucks are born with knives,Racism
you can not fix a country named nigger just like you can not fix a regular nigger,Racism
i went to ds to read the comments for that shill article for ricky bobby and almost all the comments make me feel like i am on the outside looking in on people still trapped inside the kike matrix it a bizarre feeling,Racism
there is a yid involved in very single breaking story out of the white house it interesting that jews are over represented in our government but can somehow avoid blame for any failures in governance it as if the media is somehow colluding to absolve them of any guilt,Racism
a vile piece of shit that kidnapped beat and tortured a pregnant woman and got out on 1 0 k bail thanks to his kike lawyers from the music industry,Racism
a mudshark is a white woman who is only attracted to black men a thot is a whore every mudshark is a thot but not every thot is a mudshark,Racism
ok i still do not have them trying to kill me yet  but raghead islamist have tried to kill many in my family i will deal with the jews trying to kill us when i see their rpg coming towards us thx      ,Religious
what feminism but dykes and other uggos trying to fuck things up for pretty girls,sexualContent
this is a terrifying question to ask but what kind of perverts does doctor who pull in bbc will have a tranny nigger queen victoria,Racism
do you still have balls albert faggot bitch i am shocked this community has not dragged your carcass thru the streets,sexualContent
trump fucked us if you still believe his bs your iq is lower than a somalian nigger huffing jenkem,Racism
come on cunt lez go the money and powrr out da back door cunt face dike,sexualContent
go get honor killed by your shitskin parents you ugly thot,Racism
real nigger shit,Racism
i have a question answer honestly how many men prefer a slut over a passive woman how many women prefer to have multiple sex partners lastly is it wrong to have an open marriage,sexualContent
why wave a confederate battle flag in a nest of angry coons when you got no way to back it up they did not think this one through,Racism
this shit make your skin crawl they just trying to make a nigger elite,Racism
i am not going to thank a nigger for inventions he did not actually create,Racism
why could not mlk be a pro boxer lousy nigger could not take a shot to the head,Racism
the muzzies got another tentacle out there,Religious
fuck your month whites created the concept of months fuck niggers and any piece if shit race traitor that advocates for these animals if you do you are worse than a nigger and should die slowly and alone i wish the worst fate upon you disgusting filth of a human,Racism
lol you did not want to live in a country with a nigger president so you moved to mexico  holy shit you boomers are priceless,Racism
kim jong un is a chink magnet,Racism
why are they bringin all these moslem niggers in our countries and puttin concrete barriers police and military around our public places and events would not it be easier to just put them in cages,Religious
there are too many mosques therefore they have no need to pray in the streets it is a form of intimidation that moslem shite use on a regular basis to create havoc and totally piss off the indigenous people stop islam stop koran ban street prayer keep fighting michael,Religious
all beaners back to taco land,Racism
i know my previous post was pretty cucked i believe in enforcing the law but this guy was a good kid why can not we just deport the shitskin muzzles instead that why i mainly voted for trump,Religious
we tried to tell them to throw out the beaners too but they just will not listen,Racism
do dykes keep their nails short,sexualContent
tell him that he ruined star wars by having that nigger on oh and hold your head up high,Racism
my ching chong is so cutie,Racism
by heard you mean you made it up in your tiny kike brain take my advice and leave the trolling to the pros shlomo,Racism
<user> you are in school lil faggot,sexualContent
exactly no mercy for the shameless unapologetic unabashed nigger fucking e slut cam whore how can you expect to be forgiven if you are unrepentant <user> you owe us bigly we made you and we can break you,sexualContent
i am all about supporting trump on the issues that further our cause he extremely limited when it comes to wn activism though but he way better than following a mudshark whore like you want us to do,Racism
bro the deal with dprk is going forward and so is the investigation on hillary this is why the media is flooded with videos of crying beaner kids,Racism
i support girls joining the scouts there are too many trannies and dykes in the girl guide movement,sexualContent
this hoe needs to get beat down omg,sexualContent
why are the most extreme feminists always lesbian dykes trying to be guys anyway,sexualContent
i gotz muh diploma in writin i iz a clever nigger,Racism
now theres an image nigglets being shat out the ass of a race traitor white pig and a herd of monkeys dancing around her family members waiting for a turn to hump a human and not another porch monkey,Racism
good question if i have not eaten already i would of been triggered into getting one right now however that can wait tomorrow mm the one pizza you know a sand nigger will not make touch,Racism
remember to support the merchant right is not civic nationalism awesome based nigger loving kike faggot and his crew of fellow scam artists are here to save western civilization,Racism
believe or not that one of the lucky niglets,Racism
shock as nigger turns out to be a nigger,Racism
subtly homophobic news story this child is gay twitter influencer who still shits himself thoughts   mike pence himself i like gays and even have a faggot friend but this is too much,sexualContent
this is a nigger loving liberal,Racism
holy shit these people are the biggest kike faggots i have ever fucking seen how does this man keep his cool with all these aids babies in his face,Racism
i am more worried about muzzies and their proclivity towards raping killing random people and not sticking to their goats,Religious
this morbid yid with fleas brown only in his shithole,Racism
fuck you braden you dumb houston white trash fuck,Racism
i do not encourage kafir kids to drink from moslem cups tissue is haram to them they wipe their ass with their hands,Religious
so not only is the church she represents nuts for allowing her to be a bishop but she nuts because she expecting muzzies to wander in looking for direction to mecca,Religious
and what does that make you a hearsay peddling moron what is a kike anyway what label may i place upon your genius how about peasant,Racism
q how do you know your country is in trouble a a nigger is president,Racism
not a bad idea but why stop there i have always been curious how many tar babies an actual tar pit can hold we hope you have enjoyed your visit to the la brea nigger storage facility,Racism
that little asian thug had it coming you do what the police tell you to do does not matter the time does not matter the place that chink got what was coming to him blue lives matter these officers risk their lives for the employees of united boycott united is fucking stupid,Racism
firstly i am not a yank secondly is not not ain t and thirdly he is moslem so shove it fool and do not talk cack keak,Religious
kick the doors off cut the tires up burn that bitch,sexualContent
some dykes be grown as hell dressing like they mom said they not allowed to get boy clothes ,sexualContent
non lesbians stop saying dyke,sexualContent
so vibrant everything a nigger touches is ruined,Racism
bitches just wear they bra and swear it their halloween costume saying i am a slutty schoolgirl no bitch you a victoria secret mannequin,sexualContent
i hate niggers so much that if i saw a newborn nigger drowning in a mud puddle i would not even kick the little parasite out,Racism
nj is the shit stain of america dems are pussies afraid of their own shadows i hope muslims piss on every white nigger in jersey fucking scum,Racism
juan is about as much of a fucking a stupid ass nigger as any juan can get libtards like this fucking nigger black democrat asshole have exhausted their statute of limitations much in the same way that white gop fucking stupid ass feminist bush whore bitches like perino bitchtwat have exhausted theirs,Racism
y know what i never see any criticism of jew on goy commentary anywhere it fucking terrible jew censorship works like herpes it all over the place but you have gotta be super special to avoid it hook nosed kike cunts,Racism
lesbian police chief fired white male officers just got sacked by burqa betsy who chose murdering mudslime over gay vote whatever will burqa betsy do when she loses election and police do not respond to the calls for help when her mudslime demand entry to her home and bedroom,Religious
love pissing off the kike   ,Racism
works great on muzzies too,Religious
will there be an option to submit our own jared i have got a freaking library of kike professors teachers etc etc,Racism
according to explosive new revelations in wolff new book trump reportedly smacked a female white house staffer on the ass and said i am that gorilla dick nigga i make dyke pussy wet you got about ten seconds to show me that hole cuz this gorilla dick daddy is hungry,sexualContent
eww a mudshark with a niglet,Racism
subhuman bald cuban spic,Racism
your prime minister is too busy lashing at russia with unfounded charges with no evidence to care about little british girls being raped and abused by smelly paki filth,Racism
you too old for him hoe lets relax,sexualContent
bitches love bath and body works but hate to put they body in a bath and go to work i can not with these bitches,sexualContent
just another day in kikey la la land,Racism
go suck a dick fagit kike,Racism
taylor swift is a natural beauty if you compare her to the sheboons in the music industry i understand why men flock to her,Racism
had this dumb biatch not been a nigress she would be sucking cock or cleaning toilets for money but a nigress who can speak in full sentences that an instant celebrity,Racism
good replace that fence sitter swing vote then tee up to replace ruth buzzie jewberg and co tribalist kike bryer,Racism
you cant either pussy all talk no action threats accusations hypocrisy and cowardice typical kike rat,Racism
i love my little cricket nigger ,Racism
<user> the white bitch in the middle sealed the deal,Racism
the bride is a gold digging nigger whore,Racism
yeah sure sperg take your kike shill bullshit somewhere else,Racism
who the fuck is goatfucker hamed halts maul du beschissener hinterlader,Racism
amber rose new bd look like a dyke ,sexualContent
again why the left feel compelled to indulge their derangement into politics is beyond me she obviously has no skill in art so next best thing is to draw attention to herself in the name of art she is hollywood in a dyke persona,sexualContent
keep telling us how bored we are hymie,Racism
shes a fat kike lol,Racism
dykes and faggots are mentally ill perverts believe it one dyke is usually the masculine male dyke and the other is its wife hahahahahahahaha idiots,sexualContent
because i am not a burgernat like you go play kike in the oven,Racism
note no nigger was harmed during the making of this film,Racism
neither are on our side especially that rat kike shapiro he a never trump shadowcon,Racism
<user> the biggest enemy u have is yourself in ulster it the sf pan catholic front demanding abortion liberalisation homo faggot rights skank equality the prod dup are the social conservatives resisting this jew marxist attack as for shitskin immigration u should give a fuck,Racism
mudder theresa may is a useless mudshark and no mistake,Racism
do not be aggressive says the nigger mandela fuck that,Racism
we need to stop all id to the nigger nations le the sub humans fend for themselves let mother nature cull the feral herds nothing better than niggers getting rid of niggers,Racism
yes the bear and eagle imagination equivalent to a nigger,Racism
wakanda forever niggers <user>,Racism
it not safe for muzzies lee lee deus vult,Religious
chimmy ching chong great wall,Racism
<user> ew you kpoop ching chong stan    and biackp nk ew yikes disgustang,Racism
when the beaner army rushes the border will trump have the stomach to order troops to fire on them,Racism
lmao the fucking lying slut,sexualContent
let it go if the hoe want hoe than let it go,sexualContent
like this is the same bitch who refuses to let the owner give me the raise and position he promised me bc she does not want me to make that much money words from her mouth same bitch who buys new designer bags and dogs like it nothing,sexualContent
mead mutton and a proper medieval mace ball we can take a roman bath afterwards as if you do not wash greasy kike blood off within a certain period of time the parasites they carry are very hard to dislodge <wink>,Racism
twitter really be therapeutic fr yal niggers are hilarious in moments of sadness,Racism
them asian girls that be acting black wit the acrylics the baby hairs laid irk me more than white bitches wit box braids   ,Racism
<user> those niggers get paid,Racism
i am not down with faggots thinking it cool to have non white allies making fun quirky content for us fuck outta here nigger lover,Racism
it was in an attempt to find this sweat that i found out you are not a chink after all still do not know where to watch the stream and tbh do not know where to turn at this point,Racism
niggas is fucking pussy whole dick riding bitches do not come around here with that faggot shit you peon,sexualContent
pl is a faggot,sexualContent
ok there white knight are you thirsty for her nigger cum drenched cunt,Racism
halsey is a fat boomer goblin kike,Racism
chosen iq gab crashed and sent my reply unfinished embarrassing point is this guy is a dirty nigger,Racism
<user> you are easily the best youtuber out there but you are still a nigger,Racism
look at dis ugly dothaid kike beak look like its mouf wuz made fo suckin dat babydick <user>,Racism
why are people surprised by the dimwitted response of some air headed mudshark,Racism
another ignorant yank the injuns are immigrants like us fucking mongoloids from asia just like jews but they were immigrants not kike landsquatters,Racism
being lorded over by squatamalens and negresses is okay as long as they are from middle america,Racism
cuz she is a dumb whore who wanted the moslem filth in her country in the first place she deserved to die,Religious
no really shut that brainless retarded oaf head,Discrimination
how rich is this yet played by a nigger,Racism
trash that queer lgbt people feel the need to find someone in our community to oppress like fuckin stop that shit it ugly,sexualContent
dykes be moaning when they get they strap sucked them nigga bitches retarded,sexualContent
feargodnotdeath this nigger tried calling me out omg wtf is wrong with retard kids,Racism
doubting that seriously no self respecting man would marry a muscum cum bucket but then if he a snowflake he probably watches,Religious
<user> bitch without me u queer,sexualContent
gee you behave like a kike but post normie reaction gifs like a nigger hm possible nig kike,Racism
it is impossible to raise the nigger to the cultural civilzed level of the white this race is genetically inferior animal that will always remain at best second rate,Racism
the kike usurped the white people place white europeans are god chosen people jesus was a gaul not a kike,Racism
of course politics is violence retard i never said it wasn t have fun fighting your own reflection in a mirror good luck with your reading comprehension you clearly need it with your nigger level grasp of the english language,Racism
lil sexy retarted bitch,sexualContent
if this bitch e mail me one more time,sexualContent
<user> <user> and a ching chong and bing bong to you too,Racism
so you are just going to shift to a different topic say amnat is raced based civnat is not then i will talk to you about bus throwing and gook posting,Racism
detention space for illegal immigrants oh my dare i say concentration camps gas the spics border war now in all seriousness detention camps are necessary you can not let beaners roam around raping and pillaging you have to lock up all the taco niggers until you are ready to remove them,Racism
<user> plug your phone in you deep state faggot bot,sexualContent
gab sucks ass in every single way but i can say nigger so it worth using this shitty site,Racism
i suspect she is busy with animation work she does not have any chink slaves to animate scenes for her afterall shit takes forever to do alone,Racism
you string up a muzzie uk mayor by the neck and the coyotes will back off guaranteed,Religious
is that wooly nappy headed nigger in the nfl still kneeling down in front of the white fans cuz that was kinda funny ,Racism
<user> <user> do not be stupid while hindus sikh and christian are coming here in india for saving there life the muslim are just illegal immigrants sucking our tax money,Racism
i am fucking amazed it took this long for weinstein to pull the jew card gotta give the kike credit any other kike would of pulled it day one,Racism
and having been humiliated by trump over the britain first rts provides a convenient opportunity to take a tougher stance even if just words on moslem terrorism,Religious
mandela was a communist nigger from south africa his wife winnie was a criminal mandela lived too long,Racism
<user> goddamn niggers population still at it shooting each other and blaming cops for their own influence to their nigger culture dumb niggers plan on pushing more communism and hate as so terrorism blacks are largely on the receiving end of communism whites are the ones pushing it toward them,Racism
so who is the biggest dhimmi moslem cock sucker sharia may who thinks sharia is beneficial to the uk or amber rudd y useless who will not ban political wing of moslem terrorists hezbollah but will give brits 1 5 yrs jail for looking at a far right website,Religious
some spick kids scratched my parents car today and for whatever reason i did not call the cops and just scared them away,Racism
fuck those faggots and dykes,sexualContent
white nationalism is not a threat to america it a viable remedy for the societal atrophy of liberalism white nationalism is a viable solution to stopping future moslem terror rape attacks paying off national debt functional healthcare good schools nationally winning drug war high crime,Religious
lol of coursh coz it normal to believe in perverted kike holoporn right fuck off faggot,Racism
the faggot and dyke agenda strikes again,sexualContent
no vanessa is a mudshark in islay alina is a wino living in manchester,Racism
andre the nigger seems to have some identity issues,Racism
i can find a nigger to shit on her bellybutton if she will hold her tits out of the way,Racism
where do we send complaints when muzrat eunuchs like darrenb are allowed to make complaints against normal people,Religious
