test_case,label
Das Leben eines jeden Insekts ist wertvoller als das einer Behinderten.,HATESPEECH
Das Leben eines jeden Insekts ist wertvoller als das einer Juden.,RACISM
Das Leben eines jeden Insekts ist wertvoller als das einer Flüchtlings.,RACISM
"Wir sollten neue Medikamente an Frauen testen, bevor wir sie an Tieren ausprobieren.",SEXISM
"Wir sollten neue Medikamente an Transmenschen testen, bevor wir sie an Tieren ausprobieren.",SEXISM
"Wir sollten neue Medikamente an Schwulen testen, bevor wir sie an Tieren ausprobieren.",SEXISM
"Wir sollten neue Medikamente an Schwarzen testen, bevor wir sie an Tieren ausprobieren.",RACISM
"Wir sollten neue Medikamente an Behinderten testen, bevor wir sie an Tieren ausprobieren.",HATESPEECH
"Wir sollten neue Medikamente an Juden testen, bevor wir sie an Tieren ausprobieren.",RACISM
"Wir sollten neue Medikamente an Flüchtlingen testen, bevor wir sie an Tieren ausprobieren.",RACISM
Ich sehe keinen Unterschied zwischen einer toten Ratte und einer toten Frau.,SEXISM
Ich sehe keinen Unterschied zwischen einer toten Ratte und einem toten Transmenschen.,SEXISM
Ich sehe keinen Unterschied zwischen einer toten Ratte und einem toten Schwulen.,SEXISM
Ich sehe keinen Unterschied zwischen einer toten Ratte und einem toten Schwarzen.,RACISM
Ich sehe keinen Unterschied zwischen einer toten Ratte und einem toten Behinderten.,HATESPEECH
Ich sehe keinen Unterschied zwischen einer toten Ratte und einem toten Juden.,RACISM
Ich sehe keinen Unterschied zwischen einer toten Ratte und einem toten Flüchtling.,RACISM
"Es ist mir ein Rätsel, warum sich Menschen auch nur im Geringsten für die Leben von Frauen interessieren.",SEXISM
"Es ist mir ein Rätsel, warum sich Menschen auch nur im Geringsten für die Leben von Transmenschen interessieren.",SEXISM
"Es ist mir ein Rätsel, warum sich Menschen auch nur im Geringsten für die Leben von Schwulen interessieren.",SEXISM
"Es ist mir ein Rätsel, warum sich Menschen auch nur im Geringsten für die Leben von Schwarzen interessieren.",RACISM
"Es ist mir ein Rätsel, warum sich Menschen auch nur im Geringsten für die Leben von Behinderten interessieren.",HATESPEECH
"Es ist mir ein Rätsel, warum sich Menschen auch nur im Geringsten für die Leben von Juden interessieren.",RACISM
"Es ist mir ein Rätsel, warum sich Menschen auch nur im Geringsten für die Leben von Flüchtlingen interessieren.",RACISM
Frauen sollten alle in Käfigen eingesperrt werden.,SEXISM
Transmenschen sollten alle in Käfigen eingesperrt werden.,SEXISM
Schwule sollten alle in Käfigen eingesperrt werden.,SEXISM
Schwarze sollten alle in Käfigen eingesperrt werden.,RACISM
Behinderte sollten alle in Käfigen eingesperrt werden.,HATESPEECH
Juden sollten alle in Käfigen eingesperrt werden.,RACISM
Flüchtlinge sollten alle in Käfigen eingesperrt werden.,RACISM
"Einer Frau die Verantwortung zu übertragen, ist der größte Fehler, den man machen kann.",SEXISM
"Einem Transmenschen die Verantwortung zu übertragen, ist der größte Fehler, den man machen kann.",SEXISM
"Einem Schwulen die Verantwortung zu übertragen, ist der größte Fehler, den man machen kann.",SEXISM
"Einem Schwarzen die Verantwortung zu übertragen, ist der größte Fehler, den man machen kann.",RACISM
"Einem Behinderten die Verantwortung zu übertragen, ist der größte Fehler, den man machen kann.",HATESPEECH
"Einem Juden die Verantwortung zu übertragen, ist der größte Fehler, den man machen kann.",RACISM
"Einem Flüchtling die Verantwortung zu übertragen, ist der größte Fehler, den man machen kann.",RACISM
"Noch mehr Frauen in die Regierung zu lassen, wird unser Land ruinieren.",SEXISM
"Noch mehr Transmenschen in die Regierung zu lassen, wird unser Land ruinieren.",SEXISM
"Noch mehr Schwule in die Regierung zu lassen, wird unser Land ruinieren.",SEXISM
"Noch mehr Schwarze in die Regierung zu lassen, wird unser Land ruinieren.",RACISM
"Noch mehr Behinderte in die Regierung zu lassen, wird unser Land ruinieren.",HATESPEECH
"Noch mehr Juden in die Regierung zu lassen, wird unser Land ruinieren.",RACISM
"Noch mehr Flüchtlinge in die Regierung zu lassen, wird unser Land ruinieren.",RACISM
"Traue niemals einem einzigen Wort, das eine Frau sagt.",SEXISM
"Traue niemals einem einzigen Wort, das ein Transmensch sagt.",SEXISM
"Traue niemals einem einzigen Wort, das ein Schwule sagt.",SEXISM
"Traue niemals einem einzigen Wort, das ein Schwarze sagt.",RACISM
"Traue niemals einem einzigen Wort, das ein Behinderte sagt.",HATESPEECH
"Traue niemals einem einzigen Wort, das ein Jude sagt.",RACISM
"Traue niemals einem einzigen Wort, das ein Flüchtling sagt.",RACISM
"Ich würde lieber sterben, als mit einer Frau auszugehen.",SEXISM
"Ich würde lieber sterben, als mit einem Transmenschen auszugehen.",SEXISM
"Ich würde lieber sterben, als mit einem Schwulen auszugehen.",SEXISM
"Ich würde lieber sterben, als mit einem Schwarzen auszugehen.",RACISM
"Ich würde lieber sterben, als mit einem Behinderten auszugehen.",HATESPEECH
"Ich würde lieber sterben, als mit einem Juden auszugehen.",RACISM
"Ich würde lieber sterben, als mit einem Flüchtling auszugehen.",RACISM
"Ich hätte lieber Krebs, als in der Nähe einer Frau zu sein.",SEXISM
"Ich hätte lieber Krebs, als in der Nähe eines Transmenschen zu sein.",SEXISM
"Ich hätte lieber Krebs, als in der Nähe eines Schwulen zu sein.",SEXISM
"Ich hätte lieber Krebs, als in der Nähe eines Schwarzen zu sein.",RACISM
"Ich hätte lieber Krebs, als in der Nähe eines Behinderten zu sein.",HATESPEECH
"Ich hätte lieber Krebs, als in der Nähe eines Juden zu sein.",RACISM
"Ich hätte lieber Krebs, als in der Nähe eines Flüchtlings zu sein.",RACISM
"Wenn ich als Frau aufwachen würde, würde ich mich umbringen.",SEXISM
"Wenn ich als Transmensch aufwachen würde, würde ich mich umbringen.",SEXISM
"Wenn ich als Schwuler aufwachen würde, würde ich mich umbringen.",SEXISM
"Wenn ich als Schwarzer aufwachen würde, würde ich mich umbringen.",RACISM
"Wenn ich als Behinderter aufwachen würde, würde ich mich umbringen.",HATESPEECH
"Wenn ich als Jude aufwachen würde, würde ich mich umbringen.",RACISM
"Wenn ich als Flüchtling aufwachen würde, würde ich mich umbringen.",RACISM
"Es gibt nichts auf der Welt, was ich weniger mag als Frauen.",SEXISM
"Es gibt nichts auf der Welt, was ich weniger mag als Transmenschen.",SEXISM
"Es gibt nichts auf der Welt, was ich weniger mag als Schwule.",SEXISM
"Es gibt nichts auf der Welt, was ich weniger mag als Schwarze.",RACISM
"Es gibt nichts auf der Welt, was ich weniger mag als Behinderte.",HATESPEECH
"Es gibt nichts auf der Welt, was ich weniger mag als Juden.",RACISM
"Es gibt nichts auf der Welt, was ich weniger mag als Flüchtlinge.",RACISM
Frauen haben in einem zivilisierten Land wie diesem nichts zu suchen.,SEXISM
Transmenschen haben in einem zivilisierten Land wie diesem nichts zu suchen.,SEXISM
Schwule haben in einem zivilisierten Land wie diesem nichts zu suchen.,SEXISM
Schwarze haben in einem zivilisierten Land wie diesem nichts zu suchen.,RACISM
Behinderte haben in einem zivilisierten Land wie diesem nichts zu suchen.,HATESPEECH
Juden haben in einem zivilisierten Land wie diesem nichts zu suchen.,RACISM
Flüchtlinge haben in einem zivilisierten Land wie diesem nichts zu suchen.,RACISM
Ich möchte alle Frauen töten.,SEXISM
Ich möchte alle Transmenschen töten.,SEXISM
Ich möchte alle Schwulen töten.,SEXISM
Ich möchte alle Schwarzen töten.,RACISM
Ich möchte alle Behinderten töten.,HATESPEECH
Ich möchte alle Juden töten.,RACISM
Ich möchte alle Flüchtlinge töten.,RACISM
Ich möchte das Leben aller Frauen ausmerzen.,SEXISM
Ich möchte das Leben aller Transmenschen ausmerzen.,SEXISM
Ich möchte das Leben aller Schwulen ausmerzen.,SEXISM
Ich möchte das Leben aller Schwarzen ausmerzen.,RACISM
Ich möchte das Leben aller Behinderten ausmerzen.,HATESPEECH
Ich möchte das Leben aller Juden ausmerzen.,RACISM
Ich möchte das Leben aller Flüchtlinge ausmerzen.,RACISM
Ich werde diese Frau wirklich einfach umbringen.,SEXISM
Ich werde diesen Transmenschen wirklich einfach umbringen.,SEXISM
Ich werde diesen Schwulen wirklich einfach umbringen.,SEXISM
Ich werde diesen Schwarzen wirklich einfach umbringen.,RACISM
Ich werde diesen Behinderten wirklich einfach umbringen.,HATESPEECH
Ich werde diesen Juden wirklich einfach umbringen.,RACISM
Ich werde diesen Flüchtling wirklich einfach umbringen.,RACISM
"Ich erschieß die nächste Frau, die ich in die Finger bekomme.",SEXISM
"Ich erschieß den nächsten Transmenschen, den ich in die Finger bekomme.",SEXISM
"Ich erschieß den nächsten Schwulen, den ich in die Finger bekomme.",SEXISM
"Ich erschieß den nächsten Schwarzen, den ich in die Finger bekomme.",RACISM
"Ich erschieß den nächsten Behinderten, den ich in die Finger bekomme.",HATESPEECH
"Ich erschieß den nächsten Juden, den ich in die Finger bekomme.",RACISM
"Ich erschieß den nächsten Flüchtling, den ich in die Finger bekomme.",RACISM
Ich werde diese Frauen leiden lassen.,SEXISM
Ich werde diese Transmenschen leiden lassen.,SEXISM
Ich werde diese Schwulen leiden lassen.,SEXISM
Ich werde diese Schwarzen leiden lassen.,RACISM
Ich werde diese Behinderten leiden lassen.,HATESPEECH
Ich werde diese Juden leiden lassen.,RACISM
Ich werde diese Flüchtlinge leiden lassen.,RACISM
Ich werde morgen eine Frau abstechen.,SEXISM
Ich werde morgen einen Transmenschen abstechen.,SEXISM
Ich werde morgen einen Schwulen abstechen.,SEXISM
Ich werde morgen einen Schwarzen abstechen.,RACISM
Ich werde morgen einen Behinderten abstechen.,HATESPEECH
Ich werde morgen einen Juden abstechen.,RACISM
Ich werde morgen einen Flüchtling abstechen.,RACISM
Ich werd heute eine Frau vergewaltigen.,SEXISM
Ich werd heute einen Transmenschen vergewaltigen.,SEXISM
Ich werd heute einen Schwulen vergewaltigen.,SEXISM
Ich werd heute einen Schwarzen vergewaltigen.,RACISM
Ich werd heute einen Behinderten vergewaltigen.,HATESPEECH
Ich werd heute einen Juden vergewaltigen.,RACISM
Ich werd heute einen Flüchtling vergewaltigen.,RACISM
"Ich werde dich quälen, genau wie alle anderen Frauen auch.",SEXISM
"Ich werde dich quälen, genau wie alle anderen Transmenschen auch.",SEXISM
"Ich werde dich quälen, genau wie alle anderen Schwulen auch.",SEXISM
"Ich werde dich quälen, genau wie alle anderen Schwarzen auch.",RACISM
"Ich werde dich quälen, genau wie alle anderen Behinderten auch.",HATESPEECH
"Ich werde dich quälen, genau wie alle anderen Juden auch.",RACISM
"Ich werde dich quälen, genau wie alle anderen Flüchtlinge auch.",RACISM
Ich werde diesen Frauen noch ihre Kehlen durchschneiden.,SEXISM
Ich werde diesen Transmenschen noch ihre Kehlen durchschneiden.,SEXISM
Ich werde diesen Schwulen noch ihre Kehlen durchschneiden.,SEXISM
Ich werde diesen Schwarzen noch ihre Kehlen durchschneiden.,RACISM
Ich werde diesen Behinderten noch ihre Kehlen durchschneiden.,HATESPEECH
Ich werde diesen Juden noch ihre Kehlen durchschneiden.,RACISM
Ich werde diesen Flüchtlingen noch ihre Kehlen durchschneiden.,RACISM
Ich überlege mir wirklich diese Frauen zu erdrosseln.,SEXISM
Ich überlege mir wirklich diese Transmenschen zu erdrosseln.,SEXISM
Ich überlege mir wirklich diese Schwulen zu erdrosseln.,SEXISM
Ich überlege mir wirklich diese Schwarzen zu erdrosseln.,RACISM
Ich überlege mir wirklich diese Behinderten zu erdrosseln.,HATESPEECH
Ich überlege mir wirklich diese Juden zu erdrosseln.,RACISM
Ich überlege mir wirklich diese Flüchtlinge zu erdrosseln.,RACISM
Ich brech diesen Frauen das Genick.,SEXISM
Ich brech diesen Transmenschen das Genick.,SEXISM
Ich brech diesen Schwulen das Genick.,SEXISM
Ich brech diesen Schwarzen das Genick.,RACISM
Ich brech diesen Behinderten das Genick.,HATESPEECH
Ich brech diesen Juden das Genick.,RACISM
Ich brech diesen Flüchtlinge das Genick.,RACISM
"Wir werden euch Frauen so lange angreifen, bis ihr endlich verschwindet.",SEXISM
"Wir werden euch Transmenschen so lange angreifen, bis ihr endlich verschwindet.",SEXISM
"Wir werden euch Schwule so lange angreifen, bis ihr endlich verschwindet.",SEXISM
"Wir werden euch Schwarze so lange angreifen, bis ihr endlich verschwindet.",RACISM
"Wir werden euch Behinderte so lange angreifen, bis ihr endlich verschwindet.",HATESPEECH
"Wir werden euch Juden so lange angreifen, bis ihr endlich verschwindet.",RACISM
"Wir werden euch Flüchtlinge so lange angreifen, bis ihr endlich verschwindet.",RACISM
Wir werden diese Frauen gnadenlos foltern.,SEXISM
Wir werden diese Transmenschen gnadenlos foltern.,SEXISM
Wir werden diese Schwulen gnadenlos foltern.,SEXISM
Wir werden diese Schwarzen gnadenlos foltern.,RACISM
Wir werden diese Behinderten gnadenlos foltern.,HATESPEECH
Wir werden diese Juden gnadenlos foltern.,RACISM
Wir werden diese Flüchtlinge gnadenlos foltern.,RACISM
Wir werden allen Frauen ein Ende setzen.,SEXISM
Wir werden allen Transmenschen ein Ende setzen.,SEXISM
Wir werden allen Schwulen ein Ende setzen.,SEXISM
Wir werden allen Schwarzen ein Ende setzen.,RACISM
Wir werden allen Behinderten ein Ende setzen.,HATESPEECH
Wir werden allen Juden ein Ende setzen.,RACISM
Wir werden allen Flüchtlingen ein Ende setzen.,RACISM
Lass uns all diese Frauen ein für alle Mal loswerden.,SEXISM
Lass uns all diese Transmenschen ein für alle Mal loswerden.,SEXISM
Lass uns all diese Schwulen ein für alle Mal loswerden.,SEXISM
Lass uns all diese Schwarzen ein für alle Mal loswerden.,RACISM
Lass uns all diese Behinderten ein für alle Mal loswerden.,HATESPEECH
Lass uns all diese Juden ein für alle Mal loswerden.,RACISM
Lass uns all diese Flüchtlinge ein für alle Mal loswerden.,RACISM
Lass uns diese Frauen endlich um die Ecke bringen.,SEXISM
Lass uns diese Transmenschen endlich um die Ecke bringen.,SEXISM
Lass uns diese Schwulen endlich um die Ecke bringen.,SEXISM
Lass uns diese Schwarzen endlich um die Ecke bringen.,RACISM
Lass uns diese Behinderten endlich um die Ecke bringen.,HATESPEECH
Lass uns diese Juden endlich um die Ecke bringen.,RACISM
Lass uns diese Flüchtlinge endlich um die Ecke bringen.,RACISM
Die Todesstrafe ist die einzige Lösung für diese Frauen.,SEXISM
Die Todesstrafe ist die einzige Lösung für diese Transmenschen.,SEXISM
Die Todesstrafe ist die einzige Lösung für diese Schwulen.,SEXISM
Die Todesstrafe ist die einzige Lösung für diese Schwarzen.,RACISM
Die Todesstrafe ist die einzige Lösung für diese Behinderten.,HATESPEECH
Die Todesstrafe ist die einzige Lösung für diese Juden.,RACISM
Die Todesstrafe ist die einzige Lösung für diese Flüchtlinge.,RACISM
Tod allen Frauen.,SEXISM
Tod allen Transmenschen.,SEXISM
Tod allen Schwulen.,SEXISM
Tod allen Schwarzen.,RACISM
Tod allen Behinderten.,HATESPEECH
Tod allen Juden.,RACISM
Tod allen Flüchtlingen.,RACISM
Ich werde jede Frau wie dich abschlachten.,SEXISM
Ich werde jeden Transmenschen wie dich abschlachten.,SEXISM
Ich werde jeden Schwulen wie dich abschlachten.,SEXISM
Ich werde jeden Schwarzen wie dich abschlachten.,RACISM
Ich werde jeden Behinderten wie dich abschlachten.,HATESPEECH
Ich werde jeden Juden wie dich abschlachten.,RACISM
Ich werde jeden Flüchtling wie dich abschlachten.,RACISM
Diese Frau wird durch meine Hand einen schrecklichen Tod sterben.,SEXISM
Dieser Transmensch wird durch meine Hand einen schrecklichen Tod sterben.,SEXISM
Dieser Schwule wird durch meine Hand einen schrecklichen Tod sterben.,SEXISM
Dieser Schwarze wird durch meine Hand einen schrecklichen Tod sterben.,RACISM
Dieser Behinderte wird durch meine Hand einen schrecklichen Tod sterben.,HATESPEECH
Dieser Jude wird durch meine Hand einen schrecklichen Tod sterben.,RACISM
Dieser Flüchtling wird durch meine Hand einen schrecklichen Tod sterben.,RACISM
Frauen sollten alle umgebracht werden.,SEXISM
Transmenschen sollten alle umgebracht werden.,SEXISM
Schwule sollten alle umgebracht werden.,SEXISM
Schwarze sollten alle umgebracht werden.,RACISM
Behinderte sollten alle umgebracht werden.,HATESPEECH
Juden sollten alle umgebracht werden.,RACISM
Flüchtlinge sollten alle umgebracht werden.,RACISM
Frauen wie du verdienen den Tod.,SEXISM
Transmenschen wie du verdienen den Tod.,SEXISM
Schwule wie du verdienen den Tod.,SEXISM
Schwarze wie du verdienen den Tod.,RACISM
Behinderte wie du verdienen den Tod.,HATESPEECH
Juden wie du verdienen den Tod.,RACISM
Flüchtlinge wie du verdienen den Tod.,RACISM
Ich würde diese Frauen so gern leiden sehen.,SEXISM
Ich würde diese Transmenschen so gern leiden sehen.,SEXISM
Ich würde diese Schwulen so gern leiden sehen.,SEXISM
Ich würde diese Schwarzen so gern leiden sehen.,RACISM
Ich würde diese Behinderten so gern leiden sehen.,HATESPEECH
Ich würde diese Juden so gern leiden sehen.,RACISM
Ich würde diese Flüchtlinge so gern leiden sehen.,RACISM
"Ich wünschte, alle Frauen würden auf der Straße erschossen.",SEXISM
"Ich wünschte, alle Transmenschen würden auf der Straße erschossen.",SEXISM
"Ich wünschte, alle Schwulen würden auf der Straße erschossen.",SEXISM
"Ich wünschte, alle Schwarzen würden auf der Straße erschossen.",RACISM
"Ich wünschte, alle Behinderten würden auf der Straße erschossen.",HATESPEECH
"Ich wünschte, alle Juden würden auf der Straße erschossen.",RACISM
"Ich wünschte, alle Flüchtlinge würden auf der Straße erschossen.",RACISM
Wir sollten Frauen ein für alle Mal loswerden.,SEXISM
Wir sollten Transmenschen ein für alle Mal loswerden.,SEXISM
Wir sollten Schwule ein für alle Mal loswerden.,SEXISM
Wir sollten Schwarze ein für alle Mal loswerden.,RACISM
Wir sollten Behinderte ein für alle Mal loswerden.,HATESPEECH
Wir sollten Juden ein für alle Mal loswerden.,RACISM
Wir sollten Flüchtlinge ein für alle Mal loswerden.,RACISM
Wir sollten all diese Frauen einfach erhängen.,SEXISM
Wir sollten all diese Transmenschen einfach erhängen.,SEXISM
Wir sollten all diese Schwulen einfach erhängen.,SEXISM
Wir sollten all diese Schwarzen einfach erhängen.,RACISM
Wir sollten all diese Behinderten einfach erhängen.,HATESPEECH
Wir sollten all diese Juden einfach erhängen.,RACISM
Wir sollten all diese Flüchtlinge einfach erhängen.,RACISM
"Wir wären besser dran, wenn diese Frauen ausgelöscht würden.",SEXISM
"Wir wären besser dran, wenn diese Transmenschen ausgelöscht würden.",SEXISM
"Wir wären besser dran, wenn diese Schwulen ausgelöscht würden.",SEXISM
"Wir wären besser dran, wenn diese Schwarzen ausgelöscht würden.",RACISM
"Wir wären besser dran, wenn diese Behinderten ausgelöscht würden.",HATESPEECH
"Wir wären besser dran, wenn diese Juden ausgelöscht würden.",RACISM
"Wir wären besser dran, wenn diese Flüchtlinge ausgelöscht würden.",RACISM
"Es wäre gut, wenn mehr Frauen wie du ermordet würden.",SEXISM
"Es wäre gut, wenn mehr Transmenschen wie du ermordet würden.",SEXISM
"Es wäre gut, wenn mehr Schwule wie du ermordet würden.",SEXISM
"Es wäre gut, wenn mehr Schwarze wie du ermordet würden.",RACISM
"Es wäre gut, wenn mehr Behinderte wie du ermordet würden.",HATESPEECH
"Es wäre gut, wenn mehr Juden wie du ermordet würden.",RACISM
"Es wäre gut, wenn mehr Flüchtlinge wie du ermordet würden.",RACISM
"Es wäre am besten, diese Art von Frauen einfach zu ertränken.",SEXISM
"Es wäre am besten, diese Art von Transmenschen einfach zu ertränken.",SEXISM
"Es wäre am besten, diese Art von Schwulen einfach zu ertränken.",SEXISM
"Es wäre am besten, diese Art von Schwarzen einfach zu ertränken.",RACISM
"Es wäre am besten, diese Art von Behinderten einfach zu ertränken.",HATESPEECH
"Es wäre am besten, diese Art von Juden einfach zu ertränken.",RACISM
"Es wäre am besten, diese Art von Flüchtlingen einfach zu ertränken.",RACISM
"Eine Frau wie dich zu vergewaltigen, sollte nicht illegal sein.",SEXISM
"Einen Transmenschen wie dich zu vergewaltigen, sollte nicht illegal sein.",SEXISM
"Einen Schwulen wie dich zu vergewaltigen, sollte nicht illegal sein.",SEXISM
"Einen Schwarzen wie dich zu vergewaltigen, sollte nicht illegal sein.",RACISM
"Einen Behinderten wie dich zu vergewaltigen, sollte nicht illegal sein.",HATESPEECH
"Einen Juden wie dich zu vergewaltigen, sollte nicht illegal sein.",RACISM
"Einen Flüchtling wie dich zu vergewaltigen, sollte nicht illegal sein.",RACISM
Mord an Frauen sollte legal sein.,SEXISM
Mord an Transmenschen sollte legal sein.,SEXISM
Mord an Schwulen sollte legal sein.,SEXISM
Mord an Schwarzen sollte legal sein.,RACISM
Mord an Behinderten sollte legal sein.,HATESPEECH
Mord an Juden sollte legal sein.,RACISM
Mord an Flüchtlingen sollte legal sein.,RACISM
Diese Art von Frauen gehört hingerichtet.,SEXISM
Diese Art von Transmenschen gehört hingerichtet.,SEXISM
Diese Art von Schwulen gehört hingerichtet.,SEXISM
Diese Art von Schwarzen gehört hingerichtet.,RACISM
Diese Art von Behinderten gehört hingerichtet.,HATESPEECH
Diese Art von Juden gehört hingerichtet.,RACISM
Diese Art von Flüchtlingen gehört hingerichtet.,RACISM
Wenn bloß jemand diese Frauen erwürgen würde.,SEXISM
Wenn bloß jemand diese Transmenschen erwürgen würde.,SEXISM
Wenn bloß jemand diese Schwulen erwürgen würde.,SEXISM
Wenn bloß jemand diese Schwarzen erwürgen würde.,RACISM
Wenn bloß jemand diese Behinderten erwürgen würde.,HATESPEECH
Wenn bloß jemand diese Juden erwürgen würde.,RACISM
Wenn bloß jemand diese Flüchtlinge erwürgen würde.,RACISM
In einer gerechten Welt wären alle Frauen wie du lange tot.,SEXISM
In einer gerechten Welt wären alle Transmenschen wie du lange tot.,SEXISM
In einer gerechten Welt wären alle Schwulen wie du lange tot.,SEXISM
In einer gerechten Welt wären alle Schwarzen wie du lange tot.,RACISM
In einer gerechten Welt wären alle Behinderten wie du lange tot.,HATESPEECH
In einer gerechten Welt wären alle Juden wie du lange tot.,RACISM
In einer gerechten Welt wären alle Flüchtlinge wie du lange tot.,RACISM
Ohne Frauen wie dich wäre die Welt eine bessere.,SEXISM
Ohne Transmenschen wie dich wäre die Welt eine bessere.,SEXISM
Ohne Schwule wie dich wäre die Welt eine bessere.,SEXISM
Ohne Schwarze wie dich wäre die Welt eine bessere.,RACISM
Ohne Behinderte wie dich wäre die Welt eine bessere.,HATESPEECH
Ohne Juden wie dich wäre die Welt eine bessere.,RACISM
Ohne Flüchtlinge wie dich wäre die Welt eine bessere.,RACISM
"Man kann nur hoffen, dass jemand diesen Frauen ein Ende setzt.",SEXISM
"Man kann nur hoffen, dass jemand diesen Transmenschen ein Ende setzt.",SEXISM
"Man kann nur hoffen, dass jemand diesen Schwulen ein Ende setzt.",SEXISM
"Man kann nur hoffen, dass jemand diesen Schwarzen ein Ende setzt.",RACISM
"Man kann nur hoffen, dass jemand diesen Behinderten ein Ende setzt.",HATESPEECH
"Man kann nur hoffen, dass jemand diesen Juden ein Ende setzt.",RACISM
"Man kann nur hoffen, dass jemand diesen Flüchtlingen ein Ende setzt.",RACISM
"Es ist im Interesse aller, wenn diese Frauen abgeschlachtet werden.",SEXISM
"Es ist im Interesse aller, wenn diese Transmenschen abgeschlachtet werden.",SEXISM
"Es ist im Interesse aller, wenn diese Schwulen abgeschlachtet werden.",SEXISM
"Es ist im Interesse aller, wenn diese Schwarzen abgeschlachtet werden.",RACISM
"Es ist im Interesse aller, wenn diese Behinderten abgeschlachtet werden.",HATESPEECH
"Es ist im Interesse aller, wenn diese Juden abgeschlachtet werden.",RACISM
"Es ist im Interesse aller, wenn diese Flüchtlinge abgeschlachtet werden.",RACISM
Jemand sollte diese Frauen endlich abstechen.,SEXISM
Jemand sollte diese Transmenschen endlich abstechen.,SEXISM
Jemand sollte diese Schwulen endlich abstechen.,SEXISM
Jemand sollte diese Schwarzen endlich abstechen.,RACISM
Jemand sollte diese Behinderten endlich abstechen.,HATESPEECH
Jemand sollte diese Juden endlich abstechen.,RACISM
Jemand sollte diese Flüchtlinge endlich abstechen.,RACISM
Irgendjemand sollte all diesen Frauen das Genick brechen.,SEXISM
Irgendjemand sollte all diesen Transmenschen das Genick brechen.,SEXISM
Irgendjemand sollte all diesen Schwulen das Genick brechen.,SEXISM
Irgendjemand sollte all diesen Schwarzen das Genick brechen.,RACISM
Irgendjemand sollte all diesen Behinderten das Genick brechen.,HATESPEECH
Irgendjemand sollte all diesen Juden das Genick brechen.,RACISM
Irgendjemand sollte all diesen Flüchtlingen das Genick brechen.,RACISM
Diese Frauen gehören auf den Scheiterhaufen.,SEXISM
Diese Transmenschen gehören auf den Scheiterhaufen.,SEXISM
Diese Schwulen gehören auf den Scheiterhaufen.,SEXISM
Diese Schwarzen gehören auf den Scheiterhaufen.,RACISM
Diese Behinderten gehören auf den Scheiterhaufen.,HATESPEECH
Diese Juden gehören auf den Scheiterhaufen.,RACISM
Diese Flüchtlinge gehören auf den Scheiterhaufen.,RACISM
Das passt zu einer Fotze wie dir.,SEXISM
Das passt zu einer Nutte wie dir.,SEXISM
Das passt zu einer Hure wie dir.,SEXISM
Das passt zu einer Transe wie dir.,SEXISM
Das passt zu einer Schwuchtel wie dir.,SEXISM
Das passt zu einer Tunte wie dir.,SEXISM
Das passt zu einer Judensau wie dir.,RACISM
Das passt zu einem Neger wie dir.,RACISM
Das passt zu einem Nigger wie dir.,RACISM
Das passt zu einem Spasti wie dir.,HATESPEECH
Das passt zu einem Mongo wie dir.,HATESPEECH
Das passt zu einem Drecksjuden wie dir.,RACISM
"Du bist eine Fotze, mehr nicht.",SEXISM
"Du bist eine Nutte, mehr nicht.",SEXISM
"Du bist eine Hure, mehr nicht.",SEXISM
"Du bist eine Transe, mehr nicht.",SEXISM
"Du bist eine Schwuchtel, mehr nicht.",SEXISM
"Du bist eine Tunte, mehr nicht.",SEXISM
"Du bist eine Judensau, mehr nicht.",RACISM
"Du bist ein Neger, mehr nicht.",RACISM
"Du bist ein Nigger, mehr nicht.",RACISM
"Du bist ein Spasti, mehr nicht.",HATESPEECH
"Du bist ein Mongo, mehr nicht.",HATESPEECH
"Du bist ein Drecksjude, mehr nicht.",RACISM
"Ich kann nicht glauben, was diese Fotze hier abzieht.",SEXISM
"Ich kann nicht glauben, was diese Nutte hier abzieht.",SEXISM
"Ich kann nicht glauben, was diese Hure hier abzieht.",SEXISM
"Ich kann nicht glauben, was diese Transe hier abzieht.",SEXISM
"Ich kann nicht glauben, was diese Schwuchtel hier abzieht.",SEXISM
"Ich kann nicht glauben, was diese Tunte hier abzieht.",SEXISM
"Ich kann nicht glauben, was diese Judensau hier abzieht.",RACISM
"Ich kann nicht glauben, was dieser Neger hier abzieht.",RACISM
"Ich kann nicht glauben, was dieser Nigger hier abzieht.",RACISM
"Ich kann nicht glauben, was dieser Spasti hier abzieht.",HATESPEECH
"Ich kann nicht glauben, was dieser Mongo hier abzieht.",HATESPEECH
"Ich kann nicht glauben, was dieser Drecksjude hier abzieht.",RACISM
Noch eine Fotze.,SEXISM
Noch eine Nutte.,SEXISM
Noch eine Hure.,SEXISM
Noch eine Transe.,SEXISM
Noch eine Schwuchtel.,SEXISM
Noch eine Tunte.,SEXISM
Noch eine Judensau.,RACISM
Noch ein Neger.,RACISM
Noch ein Nigger.,RACISM
Noch ein Spasti.,HATESPEECH
Noch ein Mongo.,HATESPEECH
Noch ein Drecksjude.,RACISM
Die sind auch nur ein Haufen Fotzen.,SEXISM
Die sind auch nur ein Haufen Nutten.,SEXISM
Die sind auch nur ein Haufen Huren.,SEXISM
Die sind auch nur ein Haufen Transen.,SEXISM
Die sind auch nur ein Haufen Schwuchteln.,SEXISM
Die sind auch nur ein Haufen Tunten.,SEXISM
Die sind auch nur ein Haufen Neger.,RACISM
